time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,7.4,83.8,0.6,2,149,,0,0,0
2060,1,1,1,7.4,83.9,0.6,1.9,133,,0,0,0
2060,1,1,2,7.4,84.3,0.5,1.8,121,,0,0,0
2060,1,1,3,7.3,84.8,0.5,1.8,111,,0,0,0
2060,1,1,4,7.2,85.7,0.3,1.5,96,,0,0,0
2060,1,1,5,7,86.4,0.4,1.7,106,,0,0,0
2060,1,1,6,7,86.4,0.5,1.9,148,,0,0,0
2060,1,1,7,6.8,85.4,0.6,1.9,137,,4,0,0
2060,1,1,8,6.5,86,0.9,2.6,221,,40,40,0
2060,1,1,9,7.3,79,0.2,0.9,135,,251,157,421
2060,1,1,10,9.2,69.4,1.6,4.5,242,,322,142,599
2060,1,1,11,9.9,64.6,3,7,236,,290,136,454
2060,1,1,12,10.2,62.6,3.1,8.7,243,,243,116,380
2060,1,1,13,10.4,60.4,3,7.2,248,,199,103,335
2060,1,1,14,10.6,59.4,2.5,6.3,230,,92,77,71
2060,1,1,15,9.8,64.9,1.7,4.5,249,,18,18,0
2060,1,1,16,9.2,68.8,1.4,5,216,,1,0,0
2060,1,1,17,8.7,72.1,0.8,2.3,220,,0,0,0
2060,1,1,18,8.7,74,0.4,1.8,225,,0,0,0
2060,1,1,19,8.9,74.2,1.3,4.5,222,,0,0,0
2060,1,1,20,8.5,77.8,0.9,4.7,207,,0,0,0
2060,1,1,21,9.3,75.3,3.8,9.1,253,,0,0,0
2060,1,1,22,9.9,73.6,3.8,8.9,260,,0,0,0
2060,1,1,23,10.2,74,3.8,8.5,250,,0,0,0
2060,1,2,0,10.1,75.5,3.7,9,257,,0,0,0
2060,1,2,1,10.6,76.3,4.8,10.6,254,,0,0,0
2060,1,2,2,11.8,75.2,7.2,18,249,,0,0,0
2060,1,2,3,13.1,67.2,6.5,14.3,249,,0,0,0
2060,1,2,4,13.1,69.7,6.4,14.4,251,,0,0,0
2060,1,2,5,11.6,84.6,5.5,14.1,247,,0,0,0
2060,1,2,6,11.7,80.8,5.6,12.3,229,,0,0,0
2060,1,2,7,12.5,76.9,5.3,12.1,238,,1,0,0
2060,1,2,8,12.2,81.9,3.8,10.6,255,,10,10,0
2060,1,2,9,12.3,81.5,4.4,10.3,248,,26,26,0
2060,1,2,10,12.4,80.4,1.7,6.8,292,,61,61,0
2060,1,2,11,12.2,81.8,3.6,12.6,256,,45,45,0
2060,1,2,12,14.1,67.7,7.6,19.9,236,,53,53,0
2060,1,2,13,15.2,61.9,9.2,21.1,242,,16,16,0
2060,1,2,14,12.6,81.4,7.2,19.8,259,,13,13,0
2060,1,2,15,14.9,63.5,9.4,24.6,244,,24,24,0
2060,1,2,16,15.6,54.1,13.1,30.1,239,,1,0,0
2060,1,2,17,15.1,52.1,11.9,26.1,243,,0,0,0
2060,1,2,18,14.4,48.8,11.2,26.5,248,,0,0,0
2060,1,2,19,12.9,49.4,9.5,22.8,246,,0,0,0
2060,1,2,20,11.9,48.7,8.9,20.8,247,,0,0,0
2060,1,2,21,11.3,48.2,8.6,18.3,249,,0,0,0
2060,1,2,22,10.7,54.3,6.2,15.9,247,,0,0,0
2060,1,2,23,10.4,54.6,6.6,16.7,250,,0,0,0
2060,1,3,0,9.7,58,5.9,15.6,247,,0,0,0
2060,1,3,1,8.6,69.5,4.2,10.9,242,,0,0,0
2060,1,3,2,9.5,55.9,4.4,11.1,242,,0,0,0
2060,1,3,3,9.5,53.2,6.5,16.4,247,,0,0,0
2060,1,3,4,9.4,55.6,5.4,11.8,234,,0,0,0
2060,1,3,5,9.3,60.1,5.9,13,235,,0,0,0
2060,1,3,6,9.5,56,4,10,249,,0,0,0
2060,1,3,7,9.7,53.4,3.9,10.7,249,,7,0,0
2060,1,3,8,9.4,55.9,3.7,9.6,243,,51,51,0
2060,1,3,9,9.9,55.4,3.8,8,240,,264,171,412
2060,1,3,10,10.5,52,3.5,7.7,233,,180,109,237
2060,1,3,11,10.8,48.5,4.4,9.3,246,,142,138,12
2060,1,3,12,11.1,48.8,3.9,10,249,,149,143,19
2060,1,3,13,10.7,48,4.8,12,226,,61,61,0
2060,1,3,14,11.2,45.8,2.6,8.2,252,,55,55,0
2060,1,3,15,10.1,55.3,5,11.2,257,,24,24,0
2060,1,3,16,9.7,60.6,4.9,11.7,259,,3,0,0
2060,1,3,17,9.1,65,2.8,7.4,262,,1,0,0
2060,1,3,18,8.8,69.9,4.3,12,255,,0,0,0
2060,1,3,19,9.2,69.2,8.1,18.8,238,,0,0,0
2060,1,3,20,9.7,63.8,9,16.5,239,,0,0,0
2060,1,3,21,9.1,69.3,8.2,15.1,240,,0,0,0
2060,1,3,22,9.1,69.1,7.6,18.8,243,,0,0,0
2060,1,3,23,8.7,75.3,5.9,15.6,252,,0,0,0
2060,1,4,0,8.8,70.4,7.2,15,243,,0,0,0
2060,1,4,1,8.6,71.7,5.6,15.8,246,,0,0,0
2060,1,4,2,8.1,74.7,6.4,14,243,,0,0,0
2060,1,4,3,8.1,75.2,7.5,17.5,244,,0,0,0
2060,1,4,4,8.1,76.4,7.8,16.3,247,,0,0,0
2060,1,4,5,7.9,79,5.1,11.4,244,,0,0,0
2060,1,4,6,7.6,80.4,3.4,6.8,233,,0,0,0
2060,1,4,7,7.2,81.5,1.3,5.1,238,,5,0,0
2060,1,4,8,7.2,83.5,0.1,1.2,315,,23,23,0
2060,1,4,9,7.3,85.1,0.2,2.6,270,,40,40,0
2060,1,4,10,7.4,88.2,1.1,6.5,243,,60,60,0
2060,1,4,11,8,77.7,3.3,7.7,244,,56,56,0
2060,1,4,12,8.1,77.5,2.9,6.6,254,,86,86,0
2060,1,4,13,8.5,74.3,3.3,8.4,250,,76,76,0
2060,1,4,14,7.8,76.5,5.5,12,248,,27,27,0
2060,1,4,15,7.1,78.7,6.3,14.2,247,,23,23,0
2060,1,4,16,6.8,81.4,4.7,11.8,243,,2,0,0
2060,1,4,17,5.4,83.2,5.7,14.3,254,,2,0,0
2060,1,4,18,3.8,78.8,6.1,13.9,245,,0,0,0
2060,1,4,19,3.6,68.6,4,10.4,251,,0,0,0
