time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,5.3,75.5,3.1,7.7,153,,0,0,0
2060,1,1,1,5.5,76.5,3.5,8.9,191,,0,0,0
2060,1,1,2,5.6,76.7,3.7,9.6,215,,0,0,0
2060,1,1,3,5.7,76.5,3.9,10.3,241,,0,0,0
2060,1,1,4,5.6,75.4,4,10.8,253,,0,0,0
2060,1,1,5,5.4,74.5,3.8,10.2,255,,0,0,0
2060,1,1,6,5.2,73.6,3.7,9.7,260,,0,0,0
2060,1,1,7,5.2,71.6,3.4,9.4,266,,3,0,0
2060,1,1,8,5.1,68.7,3.5,9.8,267,,24,24,0
2060,1,1,9,4.8,69.8,2.5,9.6,295,,48,48,0
2060,1,1,10,4.5,72.3,2,5.4,294,,81,81,0
2060,1,1,11,4.4,71.9,2,6.5,321,,105,105,0
2060,1,1,12,4.6,64.2,2.6,6.7,317,,141,139,6
2060,1,1,13,4.4,64,3.1,7.4,316,,127,123,15
2060,1,1,14,4.2,64.5,2.2,7.4,315,,82,80,11
2060,1,1,15,3.8,64.2,2.7,7.9,329,,19,19,0
2060,1,1,16,3.1,62.9,3.4,10.4,330,,2,0,0
2060,1,1,17,2.4,57,4,9.7,323,,1,0,0
2060,1,1,18,1.6,58.3,3,8.9,316,,0,0,0
2060,1,1,19,1.1,56.7,2.9,7.4,316,,0,0,0
2060,1,1,20,1.1,54.9,2.3,6.9,299,,0,0,0
2060,1,1,21,1,55.2,3.1,7.4,274,,0,0,0
2060,1,1,22,1,53.5,3.2,8.2,270,,0,0,0
2060,1,1,23,1.1,55.3,3.9,9.2,250,,0,0,0
2060,1,2,0,1.1,55.4,3.4,11.8,234,,0,0,0
2060,1,2,1,0.7,60.3,4.6,12.1,250,,0,0,0
2060,1,2,2,0.1,75.2,4.9,10.8,261,,0,0,0
2060,1,2,3,0.2,82.3,4,8.8,263,,0,0,0
2060,1,2,4,-0.5,82.5,5.2,13.9,282,,0,0,0
2060,1,2,5,-1.4,67.2,3.6,8.4,285,,0,0,0
2060,1,2,6,-1.9,62,2,6.9,313,,0,0,0
2060,1,2,7,-1.7,60.9,1.8,6.4,294,,1,0,0
2060,1,2,8,-1.5,62.7,2.5,8.9,286,,18,18,0
2060,1,2,9,-1.4,69.6,2,10.6,165,,17,17,0
2060,1,2,10,-1.3,73.3,0.9,4.4,146,,36,36,0
2060,1,2,11,-1.2,75.6,0.9,4.1,153,,45,45,0
2060,1,2,12,-0.8,69.7,0.6,2,315,,101,101,0
2060,1,2,13,-0.5,68.4,1,4.8,159,,135,121,47
2060,1,2,14,-0.3,75,0.8,4,203,,48,48,0
2060,1,2,15,-0.2,70.9,1,3.6,230,,11,11,0
2060,1,2,16,-0.5,72.7,1.4,7.6,243,,1,0,0
2060,1,2,17,-0.6,77.4,1.5,5.6,171,,1,0,0
2060,1,2,18,-0.7,79.8,2.3,6.4,238,,0,0,0
2060,1,2,19,-0.9,82.8,2.2,6.1,248,,0,0,0
2060,1,2,20,-0.5,82.8,2.7,6,255,,0,0,0
2060,1,2,21,-0.4,84.9,2.6,5.9,259,,0,0,0
2060,1,2,22,-0.3,85.1,2.9,5.8,268,,0,0,0
2060,1,2,23,-0.1,84.2,2.7,6.1,270,,0,0,0
2060,1,3,0,0,83.9,2.4,6,272,,0,0,0
2060,1,3,1,-0.1,84.5,2.4,7.4,279,,0,0,0
2060,1,3,2,-0.2,85.3,2.3,6.1,306,,0,0,0
2060,1,3,3,-0.3,85.7,1.9,4.7,323,,0,0,0
2060,1,3,4,-0.2,85.1,1.5,3.3,326,,0,0,0
2060,1,3,5,-0.4,83,1.7,3.3,11,,0,0,0
2060,1,3,6,-0.2,82.5,1.1,3.5,333,,0,0,0
2060,1,3,7,-0.4,76.9,1.8,5,19,,3,0,0
2060,1,3,8,-0.3,73.7,1.7,4.8,25,,67,34,295
2060,1,3,9,-0.2,71,1.9,5.2,13,,200,71,569
2060,1,3,10,0.4,66.6,3.7,8.3,37,,278,68,682
2060,1,3,11,0.7,66.9,3.5,7.8,24,,312,63,714
2060,1,3,12,0.8,65.3,2.9,6.9,35,,306,63,701
2060,1,3,13,0.8,61.2,3.6,8.5,28,,252,62,628
2060,1,3,14,0.6,62.9,3.6,8.8,28,,173,46,579
2060,1,3,15,0.2,64.7,3.7,9.6,27,,66,33,332
2060,1,3,16,-0.5,65.9,4.3,9.3,36,,2,0,0
2060,1,3,17,-1,67.9,4.3,9.8,36,,0,0,0
2060,1,3,18,-1.2,69,3.8,9.8,28,,0,0,0
2060,1,3,19,-1.5,68.3,3.6,8.7,17,,0,0,0
2060,1,3,20,-1.9,68.7,4.5,10.5,20,,0,0,0
2060,1,3,21,-2.3,69.2,4,10.4,29,,0,0,0
2060,1,3,22,-2.4,70.1,3.7,11.3,23,,0,0,0
2060,1,3,23,-2.8,72.2,2.9,10.5,14,,0,0,0
2060,1,4,0,-3.2,72.5,3.1,10.1,33,,0,0,0
2060,1,4,1,-3.3,70.7,1.6,6.5,38,,0,0,0
2060,1,4,2,-3.6,69.9,3,7,28,,0,0,0
2060,1,4,3,-4,71.5,3.4,10.5,37,,0,0,0
2060,1,4,4,-4,71.8,4.1,11.4,48,,0,0,0
2060,1,4,5,-4,71.9,5.8,13,46,,0,0,0
2060,1,4,6,-4.1,73.2,4.7,11.4,35,,0,0,0
2060,1,4,7,-4.1,71.7,3.5,9.6,29,,4,0,0
2060,1,4,8,-3.9,71.3,4,11,25,,69,33,315
2060,1,4,9,-3.3,70.5,4.1,12.1,32,,194,63,577
2060,1,4,10,-2.5,68.2,4.2,12.6,38,,275,59,698
2060,1,4,11,-2.2,66.1,3.4,12.8,50,,314,63,716
2060,1,4,12,-2,64.8,2.5,10.3,45,,298,70,654
2060,1,4,13,-1.7,63.8,3.7,10.5,22,,247,70,579
2060,1,4,14,-2,64.7,3.8,10.6,22,,168,50,536
2060,1,4,15,-2.9,66.7,3.9,12.8,35,,66,31,339
2060,1,4,16,-3.7,67.6,5.2,12.8,29,,4,0,0
2060,1,4,17,-4.3,67.7,5.2,12.6,32,,0,0,0
2060,1,4,18,-4.5,69.1,4.9,12,38,,0,0,0
2060,1,4,19,-4.7,68.1,4.8,12.9,36,,0,0,0
2060,1,4,20,-4.9,67.2,4.7,11.1,35,,0,0,0
2060,1,4,21,-5.3,68.1,4.4,11.3,40,,0,0,0
2060,1,4,22,-5.8,68.5,4.1,9.3,25,,0,0,0
2060,1,4,23,-6.1,69.4,4.3,10.6,18,,0,0,0
2060,1,5,0,-6.5,70.7,4.6,10,24,,0,0,0
2060,1,5,1,-6.7,69.1,4.7,10.1,23,,0,0,0
2060,1,5,2,-6.9,67.1,4.6,10.7,18,,0,0,0
2060,1,5,3,-7.1,64.9,4.5,9.7,18,,0,0,0
2060,1,5,4,-7.1,65.8,4,8.7,21,,0,0,0
2060,1,5,5,-7.2,61.5,3.4,8.7,21,,0,0,0
2060,1,5,6,-7,59.7,3.1,6.9,17,,0,0,0
2060,1,5,7,-7.1,59.9,2.7,5.6,13,,4,0,0
2060,1,5,8,-7.1,57,2.1,5.9,43,,73,33,344
2060,1,5,9,-5.9,56.3,2.7,6.2,69,,206,74,578
2060,1,5,10,-5.4,56.1,1.6,5,28,,281,69,686
2060,1,5,11,-4.8,54.5,1.9,4,137,,313,63,709
2060,1,5,12,-4.4,54.6,1.3,4.1,138,,307,79,650
2060,1,5,13,-4.4,57.5,1.1,3.8,217,,228,106,396
2060,1,5,14,-4.2,57.3,1.3,3,207,,153,81,320
2060,1,5,15,-4,58.7,0.9,3.3,171,,75,49,244
